### TEST INCREMENTANDO NODOS (grafos completos)
Vamos aumentando la cantidad de nodos, manteniendo la cantidad de colores en 50. La cantidad de aristas para cada caso es máxima (grafo completo).
===========================
n,m,c,tiempo greedy,conflictos greedy,tiempo busqueda local v1, conflictos busqueda local v1,tiempo busqueda local v2, conflictos busqueda local v2
500,124750,2,31910798,62611,5996253456,62611,4294686669,62611
500,124750,2,34646285,62331,5372954593,62331,5957477491,62331
500,124750,3,42072384,41769,2545432737,41473,3854452207,41473
500,124750,3,41314218,41954,2834855258,41593,3762557607,41593
500,124750,3,43345091,42267,3370058156,41417,3747328041,41417
500,124750,3,40956076,42481,3367755798,41417,3925100038,41417
500,124750,3,39093727,41991,3450625295,41418,3799112405,41418
500,124750,4,46081344,32305,2794283506,31241,2182735570,31241
500,124750,4,46196432,32711,2832888531,31137,2865437066,31137
500,124750,4,49587020,32705,1974041633,31006,2873009815,31003
500,124750,4,56766947,32926,2765116777,31072,2245256625,31072
500,124750,4,46649922,31447,2746683760,31000,2722217336,31000
500,124750,5,56462551,26377,1540882843,24832,2161563781,24832
500,124750,5,54078162,26592,2215971139,24773,2242545571,24773
500,124750,5,56390144,27060,1795489409,25110,2216266242,25110
500,124750,5,52849635,26943,2206844339,24790,2248906742,24790
500,124750,5,56633746,26374,1944872399,24752,2194474845,24751
500,124750,6,57291228,22786,1944896297,20589,1810198378,20589
500,124750,6,59579314,21892,1859335285,20585,1796284885,20585
500,124750,6,60843803,21325,1790454693,20652,1739133539,20652
500,124750,6,80210944,21690,1801881113,20592,1184572062,20592
500,124750,6,74630730,23643,1883840248,20658,1931865704,20658
500,124750,8,68577541,17479,1378382712,15432,1482631220,15432
500,124750,8,69403763,16975,1340231778,15401,1347946533,15401
500,124750,8,70595573,17070,1359657738,15382,1408301922,15382
500,124750,8,69934444,17602,1506685863,15440,1122374365,15440
500,124750,8,67383290,16918,1331635148,15453,1320245501,15453
500,124750,10,116634876,13751,1113038433,12250,1112346475,12250
500,124750,10,82512651,13982,1264612354,12378,1086340140,12381
500,124750,10,78656480,13604,1076885473,12349,1130287128,12349
500,124750,10,80224927,13823,1102274243,12261,1104236159,12261
500,124750,10,84354936,13599,1179752313,12287,1058194829,12287
500,124750,12,93865069,11175,915647567,10168,913939437,10168
500,124750,12,89202225,11425,932759503,10366,937828360,10366
500,124750,12,87039502,11137,912500894,10342,1001834836,10342
500,124750,12,91992319,11155,900945418,10182,899528578,10182
500,124750,12,86432473,11873,993285856,10286,947105665,10286
500,124750,15,116102876,9541,807190547,8086,792857253,8086
500,124750,15,137106265,9674,666821575,8098,845977956,8098
500,124750,15,102543454,9790,822789290,8227,810458991,8227
500,124750,15,106952101,9259,778713873,8126,791777125,8126
500,124750,15,110247965,9916,845854722,8130,944210987,8130
500,124750,18,128369098,7800,655461270,6723,643267223,6723
500,124750,18,130379798,7769,664142166,6696,657269717,6696
500,124750,18,117485496,7549,629577789,6728,620463458,6728
500,124750,18,127618808,7605,694345220,6696,651029945,6696
500,124750,18,122564946,7818,652624456,6699,648110877,6699
500,124750,22,141581203,6650,550951339,5456,551485861,5456
500,124750,22,147352840,6381,538080919,5434,536680203,5434
500,124750,22,164307711,6218,570029181,5435,523300842,5435
500,124750,22,141006024,6770,579584514,5458,557885470,5455
500,124750,22,143962441,6261,528348966,5436,527246432,5436
500,124750,27,160350802,5694,477414574,4437,509271059,4437
500,124750,27,177305254,5130,354880542,4416,443267422,4416
500,124750,27,168842814,5399,444234318,4393,439485034,4393
500,124750,27,181930906,5186,454597657,4383,457922186,4383
500,124750,27,170782821,5221,443024316,4396,436014634,4395
500,124750,33,224161620,4452,414634763,3556,385127520,3556
500,124750,33,184760240,4271,354318079,3616,406679525,3618
500,124750,33,204146179,4187,350896566,3541,351189853,3541
500,124750,33,188478822,4364,361245964,3575,361593659,3575
500,124750,33,286618339,4190,276737569,3540,358876196,3541
500,124750,40,256863275,3318,278110751,2912,279725222,2912
500,124750,40,217676411,3604,314095311,2925,305973757,2928
500,124750,40,233466415,3460,287871609,2895,286504345,2895
500,124750,40,242476912,3392,276735081,2896,288409954,2896
500,124750,40,233197761,3599,377691969,2884,297104298,2884
500,124750,48,272170316,2775,286449894,2370,245467608,2372
500,124750,48,267792386,2771,245185302,2362,235581310,2365
500,124750,48,338157650,2914,241445469,2375,242313840,2377
500,124750,48,277298816,2921,258818108,2366,251560188,2365
500,124750,48,284647292,2795,241516131,2366,244742398,2366
500,124750,58,314613580,2306,216155751,1941,217524105,1942
500,124750,58,299086707,2431,212027615,1926,210996121,1927
500,124750,58,375645192,2360,249754881,1922,249767213,1918
500,124750,58,338109096,2358,204382567,1925,204836655,1925
500,124750,58,327584287,2290,188393776,1925,202976689,1927
500,124750,70,353758681,1957,172658194,1592,167721433,1590
500,124750,70,372634331,1862,162926918,1551,159670342,1550
500,124750,70,372419394,1939,186332967,1552,222759527,1550
500,124750,70,377533756,1840,163503955,1546,165109894,1548
500,124750,70,374228009,1941,176238397,1564,168548288,1565
500,124750,84,445008974,1465,142262660,1253,149380398,1253
500,124750,84,412684113,1617,147187939,1269,145397458,1269
500,124750,84,522924573,1553,143177159,1262,137092357,1256
500,124750,84,471106805,1497,146096484,1264,150238361,1261
500,124750,84,417476306,1595,137912520,1266,139381433,1266
500,124750,101,481371811,1284,113425277,1019,112891101,1019
500,124750,101,508619642,1251,135926407,1009,133109022,1012
500,124750,101,569669196,1261,115923087,1001,113406275,1003
500,124750,101,529628593,1351,122866927,1003,124425812,1003
500,124750,101,531234026,1177,116010133,1000,106200313,1002
500,124750,122,593977860,977,100349403,807,101624858,807
500,124750,122,619581579,984,102350394,804,98356842,803
500,124750,122,582273007,964,96577759,801,93119645,802
500,124750,122,648245051,1021,98629424,803,97752940,803
500,124750,122,602573712,981,99093186,799,94811859,797
500,124750,147,738874426,750,77272925,625,78168714,625
500,124750,147,689820807,772,75505298,627,76014098,627
500,124750,147,751299450,751,76036771,627,75188847,626
500,124750,147,696919784,726,74742083,631,73501091,632
500,124750,147,705812091,784,78189028,633,77612491,632
500,124750,177,799052145,623,62870087,490,62815094,491
500,124750,177,856208888,560,59258739,480,57252372,477
500,124750,177,826168921,618,63229656,491,63336497,493
500,124750,177,817466809,587,58953797,495,60174155,493
500,124750,177,806192979,592,62736667,495,59292974,494
500,124750,213,945217077,457,50510986,388,47996258,386
500,124750,213,874006910,427,43339013,392,43596774,393
500,124750,213,937617430,440,52616396,389,46566695,390
500,124750,213,951097693,480,51812089,383,49269337,384
500,124750,213,1025203670,438,46893486,370,47597327,370
500,124750,256,1070637750,333,36346491,311,37877814,312
500,124750,256,1210101475,323,36616363,284,37833309,285
500,124750,256,1038734921,325,34345585,297,36240165,296
500,124750,256,1114572220,336,39568792,296,60398669,300
500,124750,256,1223464158,315,35261419,283,36902425,283
500,124750,308,1366993114,220,24156224,205,27916868,208
500,124750,308,1364507121,227,25208703,205,26136673,204
500,124750,308,1292418409,219,23617352,209,23372952,210
500,124750,308,1407404802,225,24508769,209,25124773,208
500,124750,308,1307577942,217,25284904,210,28859775,210
500,124750,370,1786359029,138,15899818,134,16626351,134
500,124750,370,1668350962,149,17046999,138,16861439,137
500,124750,370,1577573548,138,14492173,133,14552833,132
500,124750,370,1560361014,145,17022700,136,15183068,137
500,124750,370,1659057543,140,14678936,133,15175779,132
500,124750,444,2003815922,61,6714473,61,6803756,61
500,124750,444,1795229338,61,6896943,61,9979245,61
500,124750,444,1748939875,58,5297248,58,5386189,58
500,124750,444,1812445587,69,6732602,68,8647404,68
500,124750,444,1792012112,61,5857604,60,6317212,60
